d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,942271.8237063615
1_facilities_and_construction,2018-2019,1382497.0536283478
1_facilities_and_construction,2019-2020,1931804.250045521
1_facilities_and_construction,2020-2021,1488496.6987863416
10_office_management,2017-2018,40641.1
10_office_management,2018-2019,760967
10_office_management,2019-2020,5069.641988950277
10_office_management,2020-2021,6904.549723756906
11_defence,2017-2018,70892.33570159858
11_defence,2018-2019,55742.740674955596
2_professional_services,2017-2018,241772.69458487738
2_professional_services,2018-2019,178325.5596296101
2_professional_services,2019-2020,343095.22523997555
2_professional_services,2020-2021,121259.1553980934
5_transportation_and_logistics,2019-2020,526087.05
6_industrial_products_and_services,2017-2018,430288.6961553972
6_industrial_products_and_services,2018-2019,310091.88218806713
6_industrial_products_and_services,2019-2020,264286.7321146028
6_industrial_products_and_services,2020-2021,505026.85946563527
