d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,14280.00,14687.82
10_office_management,2017-2018,31677.42,32606.78
10_office_management,2018-2019,20933.26,21273.33
10_office_management,2019-2020,51725.31,50912.69
10_office_management,2020-2021,194404.07,184039.96
10_office_management,2021-2022,188646.24,175729.51
10_office_management,2022-2023,796170.50,709716.38
3_information_technology,2020-2021,307313.46,289574.02
3_information_technology,2021-2022,1621343.41,1515451.71
3_information_technology,2022-2023,344905.92,305222.91
6_industrial_products_and_services,2017-2018,74749.24,77058.82
6_industrial_products_and_services,2018-2019,84213.79,85824.48
6_industrial_products_and_services,2019-2020,58523.33,57880.06
6_industrial_products_and_services,2020-2021,34492.50,32823.50
6_industrial_products_and_services,2021-2022,10432.76,9685.73
6_industrial_products_and_services,2022-2023,99938.45,88553.76
