d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2509609.77,2589051.56
2018-2019,323883029.81,328679000.54
2019-2020,620790868.15,615499804.61
2020-2021,171915071.51,163904251.00
2021-2022,172353326.06,161281527.91
