d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,66105
2_professional_services,2017-2018,5967660.297680044
2_professional_services,2018-2019,7673526.733083284
2_professional_services,2019-2020,13422001.016462894
2_professional_services,2020-2021,14085441.720455471
3_information_technology,2017-2018,829386.2082037205
3_information_technology,2018-2019,2837940.4801996704
3_information_technology,2019-2020,1748750.911024066
3_information_technology,2020-2021,2432687.8031368777
9_human_capital,2019-2020,39747.75
