d_most_recent_category,total,percentage
4_medical,175611609.03,0.5314530206576088
2_professional_services,61365647.01,0.18571072064953648
3_information_technology,37036080.16,0.11208220677370269
7_travel,21478795.92,0.06500123219229524
5_transportation_and_logistics,15562398.43,0.04709645164017129
10_office_management,5319114.98,0.016097225786059304
6_industrial_products_and_services,5076773.38,0.015363827940397895
1_facilities_and_construction,4067443.71,0.01230929583016091
9_human_capital,3935098.89,0.011908780990918095
8_security_and_protection,889200.90,0.002690986691018115
NA,94587.80,2.862508481312133e-4
