d_most_recent_category,total,percentage
3_information_technology,3290166.97,0.6835
9_human_capital,938476.86,0.195
2_professional_services,361365.25,0.0751
10_office_management,195675.97,0.0407
1_facilities_and_construction,27685.00,0.0058
