owner_org,d_fiscal_year,total
aandc-aadnc,2019-2020,42059.4
csa-asc,2017-2018,107093.57260273973
dfo-mpo,2017-2018,303633.6295774648
dfo-mpo,2018-2019,449467.2058326327
dfo-mpo,2019-2020,365588.5896172249
dfo-mpo,2020-2021,593446.5649726776
dnd-mdn,2017-2018,1280352.2032531567
dnd-mdn,2018-2019,2717222.0874060635
dnd-mdn,2019-2020,2485904.8413962834
dnd-mdn,2020-2021,5220134.717414743
ec,2017-2018,395734.77747126436
ec,2018-2019,945015.5925287356
ec,2019-2020,35190
hc-sc,2018-2019,63280
ijc-cmi,2017-2018,19443.83561643836
ijc-cmi,2018-2019,27556.164383561645
nrc-cnrc,2017-2018,130246.9566864608
nrc-cnrc,2018-2019,89752.7113895487
nrc-cnrc,2020-2021,0
nrcan-rncan,2017-2018,0.25849858356940514
nrcan-rncan,2018-2019,42107.89849858357
nrcan-rncan,2019-2020,12915.259206798868
nrcan-rncan,2020-2021,28069.730776783414
pc,2017-2018,5192072.943694781
pc,2018-2019,7255409.265403967
pc,2019-2020,5854124.667770756
pc,2020-2021,3624933.933725756
ps-sp,2020-2021,267682.06647662487
pwgsc-tpsgc,2017-2018,12603661.46254237
pwgsc-tpsgc,2018-2019,14047690.120100768
pwgsc-tpsgc,2019-2020,15216591.382850897
pwgsc-tpsgc,2020-2021,13712317.670604862
rcmp-grc,2017-2018,56932.5
rcmp-grc,2018-2019,522206.1584812622
rcmp-grc,2019-2020,580934.5106508875
rcmp-grc,2020-2021,579347.2578895462
tc,2017-2018,194786.10497607657
tc,2018-2019,111894.7895270947
tc,2019-2020,316835.7671009243
tc,2020-2021,207056.67839590446
