d_vendor_name,overall_total
ORACLE CANADA,767899.5156862745
ZYCOM,745286.73
EXCEL HUMAN RESOURCES,520581.82830265677
ALTIS HUMAN RESOURCES,519829.72488611046
MICROSOFT CANADA,470887.9065545561
DONNA CONA,400493.5
SOFTCHOICE,396608.9671780822
HILL KNOWLTON CANADA WPP GROUP CANADA COMMUNICATIONS,359264.3245977012
WEBDRIVE CANADA,321260.25210061367
STRIVE,246211.1
NORTHERN MICRO,233436.31
BELL CANADA,222125.55565955117
SAMSON ASSOCIES CPA CONSULTATION,198532.7237414966
ANTHONY MACAULEY ASSOCIATES VICTORIA,196957.84
XEROX,196719.73191337322
MODIS CANADA,190197.93218106995
ALEXA TRANSLATIONS,166165.76874316944
SOLUTIONS MOERAE,153849.5
R R INTERNATIONAL TRANSLATION SPECIALISTS,145646.2773722628
GARTNER,141617.43726027396
PRIMEXX VENTURES,130342.12094888072
THE AIM GROUP,117960.7
AFFINITY VIDEO PRODUCTION,114421.53999999998
SALISBURY CONSULTING,114218.08
ACCESSDATA GROUP,113295.348
NISHA TECHONOLOGIES,108914.24
ALDERSON GILL ASSOCIATES,105655
GOSS GILROY,105542
HDP GROUP,105033.5
TECHWIND,104412
HANNAH MOFFAT KELLY,102541.67172330097
GONTRAN BLAIS DESIGN,74345.33
LUMINA IT,73839.85
LEXISNEXIS CANADA,71305.26
GREY CASGRAIN S E N C,67913
MKG ASSOCIATES,67800
INFO TECH RESEARCH GROUP,66880.56284153006
2713837 ONTARIO LR DISPUTE RESOLUTION,66135.14597315436
KOSKIE MINSKY,63131.39
TRM TECHNOLOGIES,60384.380000000005
CANADIAN ALLIANCE TO END HOMELESSNESS,56442.445625606204
BDO CANADA,55935
SOFTSIM TECHNOLOGIES,53896.67
INTEGRA NETWORKS,48816
GLOBAL UPHOLSTERY,48773.619999999995
CONSENSIO SOLUTIONS,48054.467817069715
ASOKAN BUSINESS INTERIORS,47761.49
GROUPE AEQUITAS,45200
INTERSOL GROUP,42883.5
TAG HR THE ASSOCIATES GROUP,41481.03
CYBERJUSTICE,40555.555555555555
OSLER HOSKIN HARCOURT S E N C R L S R L,39660
PARRIAGGROUP,39550
FNC AVOCATS,39312.619999999995
JASFIN,39278.8
PRIVPRO,38877.65
SOLUTIA TELECOM,38792.520000000004
DR AKWASI OWUSU BEMPAH,38772.785206310684
RHEA,38533
MEDIUMCUBE,38225.64000000001
CELESTE MCKAY CONSULTING,37384.2
OPENTEXT,36411.5693430657
TRADUCTIONS TESSIER,36317.44811062431
SYLVIE LAMOUREUX,35371.25
SEVIGNY DUPUIS,33715.63559322034
BOPPRE BREANNA,32146.399999999998
VISIBLETHREAD,31200.000000000004
ANETTE SIKKA CONSULTING,28000.000000000004
PROFESSOR MICHAEL A GEIST,27120
PHL MONARCH CONNECTION,26577.600000000002
REAUME LESLIE,24985
EMILY PARADIS,24973
VISIBLE THREAD,24960
ERGO INDUSTRIAL SEATING SYSTEMS,24950.4
SDL INTERNATIONAL CANADA,24916.5
CONVERSART,24908
PETER HADWEN CONSULTING,24860
LEO PISCES SERVICES GROUP,24814.8
LEVERAGE TECHNOLOGY RESOURCES,24789.38
PORTER BRUCE,24730
DR DONALD GREGORY PASSEY,24702
THE SHIFT,24295
CISTEL TECHNOLOGY,23987.64
KORN FERRY CA,23971.235955056178
MCRAE DONALD,23672.750000000004
SANSON HART ADR,23447.5
ACCESSIBIL IT,22600
KABOOM COMMUNICATION DESIGN,22600
TBP ASSOCIATES,22600
BLACKBERRY,22090.984051910596
IDS SYSTEMS CONSULTANTS,22062.569277108436
BRITISH COLUMBIA LAW INSTITUTE,22050
DR KELLY STRUTHERS MONTFORD,21450
GRAND TOY OTTAWA,20930.53
PLURALSIGHT,20466.09123287671
ECLIPSYS SOLUTIONS,19455.54126027397
TOTEM OFFISOURCE,19225.87
FABLE TECH LABS,19210
ADSS 6175015 CANADA,17797.5
ROUTE1,17424.6
