d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,86035.57114878934
10_office_management,2018-2019,154673.01114878934
10_office_management,2019-2020,68506.7884670052
10_office_management,2020-2021,59881.27114878935
2_professional_services,2017-2018,279711.0413798033
2_professional_services,2018-2019,797773.8088546307
2_professional_services,2019-2020,1763080.4236495453
2_professional_services,2020-2021,2155260.134882574
3_information_technology,2017-2018,760212.8103297928
3_information_technology,2018-2019,1426222.5723502564
3_information_technology,2019-2020,1003226.5735815266
3_information_technology,2020-2021,1789867.4612012326
6_industrial_products_and_services,2018-2019,5927.087135036497
6_industrial_products_and_services,2019-2020,5943.325729927007
6_industrial_products_and_services,2020-2021,5927.087135036497
9_human_capital,2018-2019,69977.45707612846
9_human_capital,2019-2020,84986.56155701623
9_human_capital,2020-2021,172290.6452993518
