d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,36320.472988505746
10_office_management,2018-2019,64050.32587140009
10_office_management,2019-2020,295357.24851538707
10_office_management,2020-2021,138515.1257281553
2_professional_services,2017-2018,688789.4780477948
2_professional_services,2018-2019,1218615.341316064
2_professional_services,2019-2020,1436167.8705439772
2_professional_services,2020-2021,1098545.682535765
3_information_technology,2017-2018,180955.20170326505
3_information_technology,2018-2019,108422.88016901848
3_information_technology,2019-2020,122897.25909769918
3_information_technology,2020-2021,137735.03948947787
7_travel,2017-2018,27574.055713504644
7_travel,2018-2019,57356.72957232818
7_travel,2019-2020,212403.13721280033
7_travel,2020-2021,27574.055713504644
9_human_capital,2017-2018,78630.6126724764
9_human_capital,2018-2019,34600
9_human_capital,2019-2020,13601.40656862745
9_human_capital,2020-2021,15411.143431372548
