owner_org,d_fiscal_year,total
csc-scc,2019-2020,77949.37
csc-scc,2020-2021,117751.99
dfo-mpo,2017-2018,11425607.68
dfo-mpo,2018-2019,10935705.24
dfo-mpo,2019-2020,8595657.84
dfo-mpo,2020-2021,3103258.30
dnd-mdn,2018-2019,441116.96
ec,2017-2018,39199.93
ec,2018-2019,19983.75
ec,2019-2020,884308.50
ec,2020-2021,23366.89
nrcan-rncan,2017-2018,389949.30
