d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,216588.12,221734.26
it_consulting_services,2018-2019,1017740.55,1032648.35
it_consulting_services,2019-2020,810185.29,806688.47
it_consulting_services,2020-2021,519084.02,493321.17
it_consulting_services,2021-2022,817081.42,750087.57
