d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,10074.00
1_facilities_and_construction,2018-2019,135475.57
1_facilities_and_construction,2019-2020,106644.33
10_office_management,2017-2018,909718.23
10_office_management,2018-2019,1172640.37
10_office_management,2019-2020,1095252.87
10_office_management,2020-2021,1092260.38
2_professional_services,2018-2019,11003.25
2_professional_services,2019-2020,60768.01
2_professional_services,2020-2021,81812.00
3_information_technology,2018-2019,75637.97
3_information_technology,2019-2020,22518.70
