d_fiscal_year,total,total_constant_2019_dollars
2017-2018,3763945.57,3850997.80
2018-2019,4774950.23,4835155.68
2019-2020,713259.97,711295.65
2020-2021,4603792.86,4418427.87
2021-2022,10172156.30,7727181.08
