owner_org,overall_total
ssc-spc,2086759096.68
pwgsc-tpsgc,202193792.40
rcmp-grc,193343371.26
cra-arc,186732463.19
esdc-edsc,143797710.27
cbsa-asfc,107509836.92
dfatd-maecd,78037719.32
elections,69223187.10
dfo-mpo,55037409.63
cic,53727000.89
csc-scc,45190386.24
nrc-cnrc,43808580.50
hc-sc,40930940.79
ic,31364747.90
tc,26487428.29
nrcan-rncan,26239206.07
aafc-aac,24421933.25
ec,23195756.81
cfia-acia,20633981.76
phac-aspc,20222349.73
isc-sac,19526757.31
tbs-sct,17793989.16
jus,17306590.44
pco-bcp,17025870.45
osfi-bsif,15134058.13
nfb-onf,14331903.96
pc,13858603.77
ps-sp,11173849.59
cas-satj,10854308.10
aandc-aadnc,10698487.41
pch,10184737.84
vac-acc,9215475.27
irb-cisr,7199145.69
oag-bvg,6627552.91
csa-asc,6450294.84
nserc-crsng,6232864.91
infc,6230230.16
fin,4968388.84
fcac-acfc,4759916.66
csps-efpc,4678420.94
cer-rec,4485459.69
cnsc-ccsn,4010008.40
lac-bac,3846728.60
ppsc-sppc,3625043.15
atssc-scdata,3112434.93
cihr-irsc,2860996.34
cgc-ccg,2787320.58
ced-dec,2360077.28
acoa-apeca,2259198.61
cta-otc,2169977.59
crtc,2064654.65
opc-cpvp,1862344.77
osgg-bsgg,1838941.91
statcan,1776959.27
wage,1585942.57
chrc-ccdp,1582743.00
ocol-clo,1515085.02
iaac-aeic,1487274.82
tsb-bst,1413858.03
fintrac-canafe,1407966.37
pbc-clcc,1321640.26
cpc-cpp,1307685.18
psc-cfp,1256404.12
ijc-cmi,685439.17
nsira-ossnr,682389.27
oic-ci,664765.01
ocl-cal,644419.99
prairiescan,557059.50
mgerc-ceegm,544042.90
pmprb-cepmb,483309.29
vrab-tacra,472233.15
ccohs-cchst,462868.93
fja-cmf,454970.67
swc-cfc,409348.62
cannor,405696.82
sshrc-crsh,349739.46
feddevontario,315758.91
cics-scic,165331.40
mpcc-cppm,109353.83
psic-ispc,68620.41
oci-bec,65067.89
iic-iac,30215.00
nbc-ccbn,28432.00
wd-deo,28042.19
sirc-csars,18150.00
