owner_org,overall_total
ssc-spc,2527063991.65
pwgsc-tpsgc,231174332.14
cra-arc,223667084.07
rcmp-grc,223549283.34
esdc-edsc,182849517.12
cbsa-asfc,123387064.90
dfatd-maecd,87766008.21
elections,81985526.93
dfo-mpo,69387474.68
cic,60878291.39
nrc-cnrc,53306070.71
csc-scc,51301468.47
hc-sc,49980503.36
tc,38431308.51
ic,36998348.73
nrcan-rncan,36763775.42
ec,33600013.22
aafc-aac,29076447.26
isc-sac,27408235.40
phac-aspc,23992394.31
cfia-acia,23194409.43
jus,22811359.33
tbs-sct,21456313.05
osfi-bsif,19704233.70
pco-bcp,18852164.31
pc,18634087.36
nfb-onf,17022077.15
vac-acc,13959857.74
ps-sp,13687621.34
cas-satj,11748838.10
aandc-aadnc,10874433.43
pch,10817112.84
irb-cisr,10157571.43
infc,9837911.17
oag-bvg,7986668.65
nserc-crsng,7916766.79
csa-asc,7324456.62
fin,6198740.72
csps-efpc,6018560.12
lac-bac,5864646.82
fcac-acfc,5708878.06
ppsc-sppc,5132549.95
cnsc-ccsn,5055934.48
cer-rec,4616514.38
atssc-scdata,3926791.65
statcan,3293785.45
cihr-irsc,3158716.03
cgc-ccg,2996632.22
cta-otc,2913194.62
ced-dec,2591614.23
acoa-apeca,2344470.10
iaac-aeic,2343942.55
opc-cpvp,2281355.69
prairiescan,2272618.72
chrc-ccdp,2241527.25
wage,2239172.93
ocol-clo,2178996.67
osgg-bsgg,2085156.68
crtc,2066917.89
cpc-cpp,1894434.51
pbc-clcc,1817647.81
tsb-bst,1606372.59
sshrc-crsh,1527950.86
fintrac-canafe,1407966.37
psc-cfp,1346616.98
pmprb-cepmb,1135314.22
ijc-cmi,829051.03
oic-ci,808074.91
nsira-ossnr,740658.64
ocl-cal,722630.68
feddevontario,649160.55
ccohs-cchst,636225.78
mgerc-ceegm,556955.28
fja-cmf,499252.83
vrab-tacra,472233.15
swc-cfc,409348.62
cannor,405696.82
cics-scic,215111.74
mpcc-cppm,143104.64
psic-ispc,68620.41
iic-iac,65503.55
oci-bec,65067.89
nbc-ccbn,28432.00
wd-deo,28042.19
pacifican,23920.59
sirc-csars,18150.00
