d_fiscal_year,total,total_constant_2019_dollars
2017-2018,671340876.59,688251286.75
2018-2019,681750719.80,691835552.46
2019-2020,657719810.68,650972669.30
2020-2021,824609692.73,782929565.82
2021-2022,847159992.69,783526557.11
