d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,5531.81,5680.09
1_facilities_and_construction,2018-2019,748192.39,757370.48
1_facilities_and_construction,2019-2020,1943417.89,1939468.26
1_facilities_and_construction,2020-2021,2028225.66,1981908.19
1_facilities_and_construction,2021-2022,1960947.86,1457511.33
2_professional_services,2017-2018,501086.87,512689.94
2_professional_services,2018-2019,744970.80,754513.12
2_professional_services,2019-2020,685342.93,683669.96
2_professional_services,2020-2021,490219.54,470265.67
2_professional_services,2021-2022,2163524.81,1461151.91
3_information_technology,2021-2022,8400.00,0.00
4_medical,2021-2022,179338.90,0.00
5_transportation_and_logistics,2017-2018,72750.84,75329.44
6_industrial_products_and_services,2017-2018,1361709.98,1385126.86
6_industrial_products_and_services,2018-2019,910169.44,919401.21
6_industrial_products_and_services,2019-2020,812707.25,812383.93
6_industrial_products_and_services,2020-2021,196923.75,191276.48
6_industrial_products_and_services,2021-2022,383122.50,0.00
9_human_capital,2018-2019,44635.00,45108.53
9_human_capital,2020-2021,20475.00,19418.84
