d_fiscal_year,total,total_constant_2019_dollars
2017-2018,880095.85,902902.01
2018-2019,969767.00,984428.48
2019-2020,985773.16,977227.96
2020-2021,1552364.12,1475099.07
2021-2022,2711076.00,2516337.40
