d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,3180843.18,3265225.64
1_facilities_and_construction,2018-2019,3651685.01,3707795.24
1_facilities_and_construction,2019-2020,3882273.22,3848994.08
1_facilities_and_construction,2020-2021,3771832.48,3585701.58
1_facilities_and_construction,2021-2022,4383824.80,4065742.48
5_transportation_and_logistics,2017-2018,25300.99,25897.39
5_transportation_and_logistics,2018-2019,1026095.64,1042052.94
5_transportation_and_logistics,2019-2020,430116.80,430718.17
6_industrial_products_and_services,2019-2020,11432.68,11156.00
6_industrial_products_and_services,2020-2021,26279.12,24949.13
6_industrial_products_and_services,2021-2022,12320.72,11283.61
