d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,2453136.92,2516785.99
it_consulting_services,2018-2019,2477115.45,2513203.23
it_consulting_services,2019-2020,1578942.45,1566131.36
it_consulting_services,2020-2021,1261348.42,1199116.08
it_consulting_services,2021-2022,737582.82,683335.82
it_devices_equipment,2017-2018,1897639.22,1943966.36
it_devices_equipment,2018-2019,1032419.65,1042577.63
it_devices_equipment,2019-2020,165802.74,162754.47
it_devices_equipment,2020-2021,1392288.58,1313149.88
it_devices_equipment,2021-2022,480238.65,437825.05
it_other,2017-2018,221701.04,227293.09
it_other,2018-2019,155249.75,157661.22
it_other,2019-2020,142011.71,140813.28
it_other,2020-2021,156628.15,148765.91
it_other,2021-2022,212912.68,196079.70
it_software_licensing,2017-2018,1042811.67,1069876.49
it_software_licensing,2018-2019,1171647.54,1189715.10
it_software_licensing,2019-2020,1408376.10,1396968.22
it_software_licensing,2020-2021,1269961.32,1207558.84
it_software_licensing,2021-2022,1223046.65,1134770.12
