d_vendor_name,d_fiscal_year,total
4 OFFICE AUTOMATION,2019-2020,236156.7106326815
4 OFFICE AUTOMATION,2020-2021,277193.5946101996
ADVANCED BUSINESS INTERIORS,2017-2018,32856.59
ADVANCED BUSINESS INTERIORS,2018-2019,87304.95999999999
ADVANCED BUSINESS INTERIORS,2019-2020,50712.14
ADVANCED BUSINESS INTERIORS,2020-2021,83609.27
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,8933.324657534247
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,12271.578947368422
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,2300.921052631579
ALTIS HUMAN RESOURCES,2017-2018,119324.44299578058
ALTIS HUMAN RESOURCES,2019-2020,20289.149999999998
ARTEMP PERSONNEL SERVICES,2017-2018,64840.70846153846
ARTEMP PERSONNEL SERVICES,2018-2019,11570.909051094888
ARTEMP PERSONNEL SERVICES,2019-2020,23268.970948905106
ARTEMP PERSONNEL SERVICES,2020-2021,23205.394525547443
AVI SPL CANADA,2017-2018,36044.549999999996
AVI SPL CANADA,2018-2019,4805.94
AVI SPL CANADA,2020-2021,15004.449999999999
BANFIELD SEGUIN,2020-2021,28250
BDO CANADA,2018-2019,8833.318014705883
BDO CANADA,2019-2020,7184.431985294118
CALIAN,2017-2018,38271.30882352941
CALIAN,2018-2019,8674.341176470587
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,21625.49
CARAHSOFT TECHNOLOGY,2019-2020,3947.564371584699
CARAHSOFT TECHNOLOGY,2020-2021,9944.8256284153
CDW CANADA,2017-2018,918790.3400000001
CDW CANADA,2019-2020,10492.667322404373
CDW CANADA,2020-2021,37170.18840362303
CISION CANADA,2017-2018,20801.04
CISION CANADA,2018-2019,11522.44094488189
CISION CANADA,2019-2020,5427.55905511811
CISTEL TECHNOLOGY,2017-2018,491870.2267354597
CISTEL TECHNOLOGY,2018-2019,594758.256175586
CISTEL TECHNOLOGY,2019-2020,503252.7147772153
CISTEL TECHNOLOGY,2020-2021,501877.7073597912
COSSETTE COMMUNICATIONS,2020-2021,23224615.979999997
CSDC SYSTEMS,2017-2018,28729.39775757576
CSDC SYSTEMS,2018-2019,28772.038345039433
CSDC SYSTEMS,2019-2020,27068.29722247174
