d_most_recent_category,total,percentage
2_professional_services,81939169.08,0.4573
3_information_technology,57473123.56,0.3208
6_industrial_products_and_services,14302321.77,0.0798
10_office_management,9422310.17,0.0526
8_security_and_protection,5650702.24,0.0315
9_human_capital,4051008.31,0.0226
1_facilities_and_construction,3646462.91,0.0204
5_transportation_and_logistics,1572268.92,0.0088
7_travel,1112341.30,0.0062
