d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,73857.09075512405
10_office_management,2018-2019,65104.63075512405
11_defence,2017-2018,1252879.873926983
11_defence,2018-2019,1011055.795467538
11_defence,2019-2020,2683889.7114503654
11_defence,2020-2021,1497867.0807643095
3_information_technology,2017-2018,2173457.352022682
3_information_technology,2018-2019,2160036.492464447
3_information_technology,2019-2020,2185109.0479061273
3_information_technology,2020-2021,3037405.1641149092
6_industrial_products_and_services,2018-2019,20362.6
