d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2339523.37,2410896.50
2018-2019,2839223.64,2894155.52
2019-2020,2016970.08,1994173.47
2020-2021,1681902.77,1600639.16
2021-2022,776918.87,724819.43
2022-2023,632268.09,565756.14
