owner_org,d_fiscal_year,total
aafc-aac,2018-2019,147007.34999999998
aafc-aac,2019-2020,10985.97
cas-satj,2017-2018,47632.39743589744
cer-rec,2017-2018,449839.3574297189
cer-rec,2018-2019,1226128.3933467201
cer-rec,2019-2020,1029666.8294196393
cer-rec,2020-2021,1964263.976737583
cfia-acia,2019-2020,15839.78
dfatd-maecd,2017-2018,189601.1388613064
dfatd-maecd,2018-2019,96424.97244483395
dfatd-maecd,2019-2020,161289.61508333334
dnd-mdn,2017-2018,1169099.970209912
dnd-mdn,2018-2019,792650.9841301463
dnd-mdn,2019-2020,469613.77699995745
dnd-mdn,2020-2021,902021.6404179399
ec,2017-2018,180001.9644309929
ec,2018-2019,37524.41025641026
ec,2019-2020,73291.36428571428
ec,2020-2021,99579.71823807167
esdc-edsc,2017-2018,239188.67553191492
esdc-edsc,2018-2019,76372.52446808512
esdc-edsc,2019-2020,16036.861567944252
esdc-edsc,2020-2021,313174.73611498263
fin,2017-2018,90113.38137254902
fin,2018-2019,104148.63962382446
fin,2019-2020,130788.00037617557
iaac-aeic,2018-2019,4022.534117647059
iaac-aeic,2019-2020,13073.235882352941
ic,2017-2018,88544.4880227872
ic,2018-2019,398873.283283826
ic,2019-2020,60320.60142270861
ic,2020-2021,82004.06278289887
infc,2017-2018,25371.23
mpcc-cppm,2018-2019,3700.1086956521735
mpcc-cppm,2019-2020,20614.891304347824
nrc-cnrc,2017-2018,17124.844918722887
nrc-cnrc,2020-2021,177512.7309090909
nrcan-rncan,2017-2018,143358.21782690406
nrcan-rncan,2018-2019,32573.13183976261
nrcan-rncan,2019-2020,62755.68
nrcan-rncan,2020-2021,42194.802704280155
ocl-cal,2019-2020,33546.88580645161
ocl-cal,2020-2021,6451.324193548387
ocol-clo,2017-2018,36736.235
ocol-clo,2018-2019,10804.775000000001
polar-polaire,2019-2020,14746.499999999998
psc-cfp,2019-2020,430874.5573770492
psc-cfp,2020-2021,146781.44262295082
pwgsc-tpsgc,2017-2018,144991.85963933353
pwgsc-tpsgc,2018-2019,532386.3478973816
pwgsc-tpsgc,2019-2020,301636.7472915819
pwgsc-tpsgc,2020-2021,300723.8942354369
ssc-spc,2017-2018,806796.826171875
ssc-spc,2018-2019,6580.732465753425
ssc-spc,2019-2020,8554.287302322973
ssc-spc,2020-2021,33761.2551159618
tbs-sct,2017-2018,284864.0083769634
tbs-sct,2018-2019,479057.59162303666
tbs-sct,2019-2020,604825.7372654155
tbs-sct,2020-2021,195174.26273458445
tc,2017-2018,114726.0038158119
tc,2018-2019,92423.38922122514
tc,2019-2020,50120.31
wage,2019-2020,3409.9817100371743
wage,2020-2021,36471.97828996282
