d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,10628.08
11_defence,2017-2018,210899.76683224327
11_defence,2018-2019,700385.7910222358
11_defence,2019-2020,1146229.9304178772
11_defence,2020-2021,441355.8908711309
2_professional_services,2017-2018,367647.3009787613
3_information_technology,2017-2018,916443.9531812941
3_information_technology,2018-2019,992186.6566298357
3_information_technology,2019-2020,1263012.2862553834
3_information_technology,2020-2021,1205225.4630239767
6_industrial_products_and_services,2018-2019,25611.509589041096
6_industrial_products_and_services,2019-2020,78257.3904109589
NA,2020-2021,2932.5360000000005
