owner_org,d_fiscal_year,total,total_constant_2019_dollars
hc-sc,2020-2021,63939003.28,60900050.85
hc-sc,2021-2022,65189207.25,60608078.84
hc-sc,2022-2023,65189207.25,58331575.94
