d_most_recent_category,total,percentage
3_information_technology,201121312.8338553,0.3740895847740798
6_industrial_products_and_services,98866297.21793857,0.18389325105968402
2_professional_services,90436627.59068643,0.16821390029268465
1_facilities_and_construction,68283863.05250199,0.12700932395554979
9_human_capital,29312152.727626495,0.054521178726446615
5_transportation_and_logistics,21844081.83745214,0.04063042046217159
8_security_and_protection,18869162.849147227,0.03509701282182441
10_office_management,7062490.946629131,0.013136371618047898
4_medical,1468434.458011591,0.0027313168799733365
NA,364318.4232369299,6.776394095380472e-4
