d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,42179.90,43436.53
it_consulting_services,2018-2019,187348.76,190720.41
it_consulting_services,2019-2020,116515.23,115580.18
it_consulting_services,2020-2021,116196.88,110779.14
it_consulting_services,2021-2022,116196.88,108732.51
it_devices_equipment,2017-2018,55888.02,57552.05
it_devices_equipment,2018-2019,968579.75,986069.20
it_devices_equipment,2019-2020,41707.15,41422.49
it_software_licensing,2017-2018,4710332.40,4854477.11
it_software_licensing,2018-2019,4799330.69,4886451.27
it_software_licensing,2019-2020,3573748.77,3532718.62
it_software_licensing,2020-2021,4720196.69,4500029.54
it_software_licensing,2021-2022,3676218.34,3440242.02
