normalized_vendor_name,original_vendor_name
MCKINSEY AND COMPANY,MCKINSEY AND COMPANY CANADA
MCKINSEY AND COMPANY,MCKINSEY & COMPANY CANADA
MCKINSEY AND COMPANY,McKinsey & Company Canada
MCKINSEY AND COMPANY,MCKINSEY & COMPANY
MCKINSEY AND COMPANY,MCKINSEY AND COMPANY
MCKINSEY AND COMPANY,McKinsey and Company Canada
