d_most_recent_category,total_amendment_increase_value,n
0_other,42086724.58,114
1_facilities_and_construction,7319114964.73,8023
10_office_management,386879306.64,1864
2_professional_services,3993687000.14,11105
3_information_technology,9933085752.25,12105
4_medical,2374984915.61,1460
5_transportation_and_logistics,652079422.96,3311
6_industrial_products_and_services,523271762.83,1794
7_travel,24220793.90,241
8_security_and_protection,212110956.53,1491
9_human_capital,166918818.64,1711
