d_most_recent_category,mean_original_value,mean_overall_value,n
0_other,187019.21,197225.70,1204
1_facilities_and_construction,290853.55,392869.24,36868
10_office_management,81442.79,89847.14,17991
2_professional_services,144260.96,186559.92,63002
3_information_technology,298830.85,394481.18,44921
4_medical,701664.72,860354.31,8568
5_transportation_and_logistics,156943.60,174837.22,29099
6_industrial_products_and_services,63616.66,75996.65,30698
7_travel,97158.83,104532.69,2046
8_security_and_protection,269769.79,306146.49,5339
9_human_capital,53205.65,67201.06,14253
