d_most_recent_category,total
1_facilities_and_construction,20233209512.19
3_information_technology,19301369477.35
2_professional_services,11569865887.53
4_medical,7199045650.87
5_transportation_and_logistics,5441067923.81
6_industrial_products_and_services,2408268448.85
8_security_and_protection,1468297801.20
10_office_management,1463868274.92
9_human_capital,589198563.18
0_other,273968937.75
7_travel,242584329.06
