d_most_recent_category,total
3_information_technology,25679779561.43
1_facilities_and_construction,24739319297.77
2_professional_services,14485591504.48
4_medical,8332639531.49
5_transportation_and_logistics,6164274872.39
6_industrial_products_and_services,2685269274.58
8_security_and_protection,1840005642.40
10_office_management,1804280703.00
9_human_capital,741132061.89
7_travel,358522973.24
0_other,330612108.78
