owner_org,total
pwgsc-tpsgc,24043913335.68
ssc-spc,12325183534.23
dfo-mpo,7433920976.98
phac-aspc,6815550403.21
rcmp-grc,3586971193.72
esdc-edsc,3196493297.73
csc-scc,3074641108.71
pc,2669815227.73
dfatd-maecd,2196555866.63
cic,2196421896.21
cbsa-asfc,2146986256.46
csa-asc,1730439418.17
hc-sc,1526548298.81
tc,1199627155.37
nrc-cnrc,1188926589.73
cra-arc,1159867383.47
ec,1062198778.34
infc,985602917.77
ic,982478945.77
vac-acc,960742720.57
tbs-sct,888340946.64
nrcan-rncan,875503556.26
aafc-aac,815584398.84
isc-sac,580391525.39
cfia-acia,422840681.05
irb-cisr,362449613.03
statcan,337343383.09
aandc-aadnc,317405103.20
pco-bcp,218215245.48
jus,215308512.84
ppsc-sppc,212584895.69
pch,179169708.27
ps-sp,142811650.36
cer-rec,130350048.70
cas-satj,117180581.68
fin,96077673.33
cnsc-ccsn,88332299.91
nserc-crsng,79382171.58
lac-bac,75009361.25
atssc-scdata,60955929.13
csps-efpc,56325468.15
fcac-acfc,52006947.05
iic-iac,47888116.18
cihr-irsc,46574302.78
psc-cfp,32999152.39
wage,29409601.08
acoa-apeca,21774414.47
sshrc-crsh,18970783.95
iaac-aeic,18540112.27
ced-dec,18310492.41
cta-otc,16419786.95
pmprb-cepmb,16389166.85
tsb-bst,16024438.85
feddevontario,14868304.84
pbc-clcc,11137090.72
fintrac-canafe,9137824.06
cpc-cpp,8088430.29
wd-deo,5793122.99
casdo-ocena,4548913.57
polar-polaire,3896917.02
cics-scic,3557513.93
cannor,3041619.39
swc-cfc,2990768.08
vrab-tacra,1751068.72
fpcc-cpac,1191816.53
erc-cee,924549.57
pptc,549303.98
fednor,194913.36
