d_most_recent_category,max_overall_value,n
0_other,30295865.00,1334
1_facilities_and_construction,5723000000.00,40210
10_office_management,340945341.00,19692
2_professional_services,2493783659.00,68109
3_information_technology,1079396751.45,49415
4_medical,602111216.15,9324
5_transportation_and_logistics,782743750.00,29607
6_industrial_products_and_services,192910593.83,31467
7_travel,18104398.20,2091
8_security_and_protection,25453235.85,5686
9_human_capital,32230000.01,15138
