d_most_recent_category,total_amendment_increase_value,n
0_other,8185378.23,74
1_facilities_and_construction,1386529529.21,6409
10_office_management,153579405.07,1397
2_professional_services,2379696634.15,10168
3_information_technology,4161193195.02,7823
4_medical,1344306928.58,1016
5_transportation_and_logistics,509194561.30,3088
6_industrial_products_and_services,366428767.28,1568
7_travel,12255178.92,226
8_security_and_protection,192680607.97,1330
9_human_capital,185022205.99,1694
