d_most_recent_category,max_overall_value,n
0_other,30295865.00,1204
1_facilities_and_construction,2858077450.79,36868
10_office_management,272154490.00,17991
2_professional_services,514540899.00,63002
3_information_technology,1079396751.45,44921
4_medical,602111216.15,8568
5_transportation_and_logistics,782743750.00,29099
6_industrial_products_and_services,149048550.00,30698
7_travel,18104398.20,2046
8_security_and_protection,25453235.85,5339
9_human_capital,32230000.01,14253
