d_most_recent_category,mean_original_value,mean_overall_value,n
0_other,392093.45,463061.29,1665
1_facilities_and_construction,751166.98,1026495.24,40086
10_office_management,96380.14,117845.96,19682
2_professional_services,210377.54,334712.70,68111
3_information_technology,360076.45,543047.39,49194
4_medical,754493.17,996569.17,9324
5_transportation_and_logistics,174261.93,197100.61,29608
6_industrial_products_and_services,78958.66,97012.19,31470
7_travel,112219.89,129134.44,2092
8_security_and_protection,292465.54,330702.91,5686
9_human_capital,56315.74,79305.47,15150
