d_most_recent_category,total
1_facilities_and_construction,15598041440.7
2_professional_services,11806646595.08
3_information_technology,11638098516.91
5_transportation_and_logistics,4528811334.1
4_medical,4123942066.72
6_industrial_products_and_services,1427762100.56
10_office_management,1173611312.8
8_security_and_protection,1001586084.92
9_human_capital,591408569.64
NA,423789159.55
7_travel,170699303.13
11_defence,33016596.97
