d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,4218615783.96
1_facilities_and_construction,2018-2019,3979903358.26
1_facilities_and_construction,2019-2020,4076939129.31
1_facilities_and_construction,2020-2021,4408342804.13
10_office_management,2017-2018,265673238.7
10_office_management,2018-2019,261882115.04
10_office_management,2019-2020,327653412
10_office_management,2020-2021,336206828.93
11_defence,2017-2018,7534702.18
11_defence,2018-2019,3784809.02
11_defence,2019-2020,18354060.17
11_defence,2020-2021,3343025.61
2_professional_services,2017-2018,2543642881.97
2_professional_services,2018-2019,2950022041.67
2_professional_services,2019-2020,2470843817.62
2_professional_services,2020-2021,2944665406.02
3_information_technology,2017-2018,2825237470.13
3_information_technology,2018-2019,2996651093.09
3_information_technology,2019-2020,3094177983.26
3_information_technology,2020-2021,3562465784.44
4_medical,2017-2018,391865243.76
4_medical,2018-2019,405323570.65
4_medical,2019-2020,440451605.65
4_medical,2020-2021,3871817336.04
5_transportation_and_logistics,2017-2018,788407433.84
5_transportation_and_logistics,2018-2019,1050565607.36
5_transportation_and_logistics,2019-2020,1871687417.4
5_transportation_and_logistics,2020-2021,882241856.27
6_industrial_products_and_services,2017-2018,356312300.8
6_industrial_products_and_services,2018-2019,364848925.9
6_industrial_products_and_services,2019-2020,372396918.05
6_industrial_products_and_services,2020-2021,568695898.13
7_travel,2017-2018,43959598.97
7_travel,2018-2019,57143210.83
7_travel,2019-2020,43979711.44
7_travel,2020-2021,52171998.54
8_security_and_protection,2017-2018,263718386.12
8_security_and_protection,2018-2019,291752307.34
8_security_and_protection,2019-2020,267170251.39
8_security_and_protection,2020-2021,288771630.05
9_human_capital,2017-2018,131934455.08
9_human_capital,2018-2019,148792911.3
9_human_capital,2019-2020,173779113.25
9_human_capital,2020-2021,181308625.43
NA,2017-2018,56060772.15
NA,2018-2019,57298698.87
NA,2019-2020,59087335.77
NA,2020-2021,66518190.95
