d_most_recent_category,total
1_facilities_and_construction,16621672966.05
3_information_technology,12754357106.22
2_professional_services,10497646124.59
4_medical,5180774331.60
5_transportation_and_logistics,4592099312.71
6_industrial_products_and_services,1996954486.99
10_office_management,1193397263.41
8_security_and_protection,1112147370.66
9_human_capital,672115554.58
7_travel,198964000.54
NA,174803977.87
