d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,10943593.11,11226486.79
1_facilities_and_construction,2018-2019,11035566.17,11205212.08
1_facilities_and_construction,2019-2020,11512761.25,11415579.15
1_facilities_and_construction,2020-2021,10727671.89,10197058.06
1_facilities_and_construction,2021-2022,12085880.89,9382415.04
10_office_management,2017-2018,525620.43,539240.97
10_office_management,2018-2019,525620.43,533794.60
10_office_management,2019-2020,536941.16,532254.20
10_office_management,2020-2021,80103.00,75913.45
11_defence,2017-2018,121968279.74,125218463.74
11_defence,2018-2019,67918810.38,68878770.13
11_defence,2019-2020,68024355.48,67528010.02
11_defence,2020-2021,46523118.43,44215232.35
11_defence,2021-2022,43868058.32,35221128.17
2_professional_services,2017-2018,2463728.05,2529655.94
2_professional_services,2018-2019,995730.36,1009072.81
2_professional_services,2019-2020,183867.08,182315.43
2_professional_services,2020-2021,157837.60,150259.13
2_professional_services,2021-2022,49052.28,45845.46
3_information_technology,2017-2018,2837126.19,2910621.82
3_information_technology,2018-2019,5404732.57,5486554.70
3_information_technology,2019-2020,1832332.69,1812526.42
3_information_technology,2020-2021,3063620.13,2912399.27
3_information_technology,2021-2022,1807903.88,1525607.61
5_transportation_and_logistics,2019-2020,49603.94,48403.50
5_transportation_and_logistics,2021-2022,56483.86,0.00
6_industrial_products_and_services,2017-2018,51347018.07,52675210.53
6_industrial_products_and_services,2018-2019,72917917.76,73966938.22
6_industrial_products_and_services,2019-2020,51945002.85,51485432.03
6_industrial_products_and_services,2020-2021,46710176.06,44419619.86
6_industrial_products_and_services,2021-2022,43442417.47,33965489.23
9_human_capital,2017-2018,56258.03,57705.62
9_human_capital,2019-2020,101324.30,98872.20
