d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2468906.50,2531007.48
2018-2019,2154125.92,2183912.57
2019-2020,1771358.74,1753944.82
2020-2021,1811003.74,1721080.96
2021-2022,2542064.77,2349825.28
