name,filepath
1_facilities_and_construction,1_facilities_and_construction
10_office_management,10_office_management
11_defence,11_defence
2_professional_services,2_professional_services
3_information_technology,3_information_technology
4_medical,4_medical
5_transportation_and_logistics,5_transportation_and_logistics
6_industrial_products_and_services,6_industrial_products_and_services
7_travel,7_travel
8_security_and_protection,8_security_and_protection
9_human_capital,9_human_capital
