d_vendor_name,d_fiscal_year,total
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,207710.97999999998
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,214525.68999999997
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,217274.2
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,131499.8
CDW CANADA,2019-2020,393.3606557377049
CDW CANADA,2020-2021,1046.339344262295
CORADIX TECHNOLOGY CONSULTING,2018-2019,62149.99999999999
CORADIX TECHNOLOGY CONSULTING,2020-2021,317982
CSDC SYSTEMS,2017-2018,13146.42
DELL COMPUTER,2017-2018,22484.38
ECOLE DE LANGUES ABCE,2018-2019,10650
EXCEL HUMAN RESOURCES,2018-2019,162898.32328767123
EXCEL HUMAN RESOURCES,2019-2020,64909.67671232877
FAST FORWARD FRENCH,2019-2020,15375
FORRESTER RESEARCH,2017-2018,58949.468493150685
FREEBALANCE,2017-2018,3446.5
FREEBALANCE,2018-2019,20622.5
FREEBALANCE,2019-2020,80508.76999999999
GARTNER,2017-2018,9981.543169398907
GARTNER,2018-2019,104182.35683060109
GENESIS INTEGRATION,2017-2018,33527.55
GENESIS INTEGRATION,2018-2019,10815.449999999999
GENESIS INTEGRATION,2019-2020,43505
GOSS GILROY,2019-2020,55822
GRAND TOY,2017-2018,22369.480000000003
HONEYWELL,2019-2020,16693.95
IBM CANADA,2017-2018,86330.3944109589
IBM CANADA,2018-2019,123998.02863013699
IBM CANADA,2019-2020,108234.11161643836
IBM CANADA,2020-2021,80022.64285714286
IFATHOM,2019-2020,161341.4
KPMG,2017-2018,16192.67776096823
KPMG,2018-2019,19967.32223903177
KPMG,2019-2020,19141.87943262411
KPMG,2020-2021,68.12056737588652
LANSDOWNE TECHNOLOGIES,2020-2021,48731.25
MAPLESOFT CONSULTING,2017-2018,18080
MAPLESOFT CONSULTING,2019-2020,38086.22775800712
MAPLESOFT CONSULTING,2020-2021,36493.772241992876
MICROSOFT CANADA,2017-2018,102530.87000000002
MICROSOFT CANADA,2018-2019,105496.15999999999
MNP,2019-2020,133214.0762463343
MNP,2020-2021,362859.2375366569
NISHA TECHONOLOGIES,2018-2019,457694.91000000003
NISHA TECHONOLOGIES,2019-2020,18900.14
QMR,2018-2019,49720
RANDSTAD,2019-2020,151872
SOFTCHOICE,2017-2018,190930.8349041096
SOFTCHOICE,2018-2019,32809.86509589042
SOFTCHOICE,2020-2021,49856.3281369863
ST JOSEPH PRINT GROUP,2017-2018,19436
TERAMACH TECHNOLOGIES,2019-2020,79326
THE AIM GROUP,2019-2020,99440
THE AIM GROUP,2020-2021,59664.00000000001
THE RIGHT DOOR CONSULTING,2018-2019,24430.108695652176
THE RIGHT DOOR CONSULTING,2019-2020,19639.891304347828
TOTEM OFFISOURCE,2017-2018,74287.51999999999
TRM TECHNOLOGIES,2018-2019,34686
TRM TECHNOLOGIES,2019-2020,51980
TRM TECHNOLOGIES,2020-2021,51980
XEROX,2017-2018,6105.176998817781
XEROX,2018-2019,22124.489188669573
XEROX,2019-2020,26831.179628300437
XEROX,2020-2021,26757.870394343332
