d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,256712.53
1_facilities_and_construction,2018-2019,8637.20
1_facilities_and_construction,2019-2020,52074.64
1_facilities_and_construction,2020-2021,12264.22
10_office_management,2017-2018,174416.38
10_office_management,2018-2019,73689.79
10_office_management,2019-2020,72632.88
10_office_management,2020-2021,70879.08
2_professional_services,2017-2018,71597.17
2_professional_services,2018-2019,381161.32
2_professional_services,2019-2020,860159.83
2_professional_services,2020-2021,770510.38
3_information_technology,2017-2018,981938.66
3_information_technology,2018-2019,1373341.12
3_information_technology,2019-2020,897120.74
3_information_technology,2020-2021,772246.00
5_transportation_and_logistics,2018-2019,5632.62
5_transportation_and_logistics,2019-2020,97197.38
6_industrial_products_and_services,2018-2019,16644.85
6_industrial_products_and_services,2019-2020,41438.96
8_security_and_protection,2018-2019,214525.69
8_security_and_protection,2019-2020,217274.20
8_security_and_protection,2020-2021,131499.80
9_human_capital,2017-2018,191472.71
9_human_capital,2018-2019,354338.08
9_human_capital,2019-2020,271398.95
9_human_capital,2020-2021,48630.36
