d_most_recent_category,d_fiscal_year,total
11_defence,2017-2018,18605.16
5_transportation_and_logistics,2017-2018,113501.08
5_transportation_and_logistics,2019-2020,202951.29013894277
5_transportation_and_logistics,2020-2021,409592.00660172314
6_industrial_products_and_services,2017-2018,76575.86
6_industrial_products_and_services,2018-2019,9108872.121627906
6_industrial_products_and_services,2019-2020,1936922.3398084566
6_industrial_products_and_services,2020-2021,861100.3357023885
8_security_and_protection,2019-2020,43441.058994197294
8_security_and_protection,2020-2021,38826.44100580271
9_human_capital,2018-2019,18400
