d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,24465557.48,25099992.86
it_consulting_services,2018-2019,23122588.98,23483295.61
it_consulting_services,2019-2020,22391918.93,22198252.02
it_consulting_services,2020-2021,25708764.59,24420331.49
it_consulting_services,2021-2022,42634136.27,39666379.85
it_devices_equipment,2017-2018,5301043.90,5429938.17
it_devices_equipment,2018-2019,6950491.86,7059466.68
it_devices_equipment,2019-2020,7726860.16,7604884.41
it_devices_equipment,2020-2021,12291232.01,11636756.68
it_devices_equipment,2021-2022,12920758.31,11897436.77
it_other,2017-2018,6358225.08,6514633.59
it_other,2018-2019,9257389.82,9365384.72
it_other,2019-2020,18475383.20,18322269.70
it_other,2020-2021,2877874.46,2730064.58
it_other,2021-2022,4296306.81,4002326.30
it_software_licensing,2017-2018,7157208.76,7337606.64
it_software_licensing,2018-2019,8484776.16,8643851.58
it_software_licensing,2019-2020,3861107.09,3827384.91
it_software_licensing,2020-2021,4584172.61,4356081.84
it_software_licensing,2021-2022,4723428.10,4382105.08
