d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,19436
10_office_management,2017-2018,1321931.1130425944
10_office_management,2018-2019,1530617.6763980223
10_office_management,2019-2020,1405132.306508221
10_office_management,2020-2021,1376092.8337721375
11_defence,2018-2019,18807.149999999998
2_professional_services,2017-2018,232614.81982287782
2_professional_services,2018-2019,285843.7198228778
2_professional_services,2019-2020,34182.45691136509
2_professional_services,2020-2021,18553.252459016392
6_industrial_products_and_services,2017-2018,176784.97
6_industrial_products_and_services,2018-2019,60786.5
6_industrial_products_and_services,2019-2020,40302.590000000004
