d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,19436.00,19956.99
10_office_management,2017-2018,1321931.11,1356615.33
10_office_management,2018-2019,1530617.68,1550139.03
10_office_management,2019-2020,1405132.31,1403299.96
10_office_management,2020-2021,1376092.83,1339547.08
10_office_management,2021-2022,1181461.96,856303.68
11_defence,2018-2019,18807.15,18978.67
2_professional_services,2017-2018,232614.82,239040.78
2_professional_services,2018-2019,285843.72,289553.05
2_professional_services,2019-2020,34182.46,34145.96
2_professional_services,2020-2021,18553.25,18255.38
2_professional_services,2021-2022,15462.73,11746.12
5_transportation_and_logistics,2021-2022,13084.99,0.00
6_industrial_products_and_services,2017-2018,176784.97,181224.60
6_industrial_products_and_services,2018-2019,60786.50,61527.50
6_industrial_products_and_services,2019-2020,40302.59,40304.13
9_human_capital,2021-2022,3078.48,0.00
