d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2021-2022,0.00,0.00
0_other,2022-2023,0.00,0.00
1_facilities_and_construction,2020-2021,99338.40,94570.93
1_facilities_and_construction,2021-2022,58499.28,53521.99
11_defence,2017-2018,38735.00,39932.34
11_defence,2018-2019,39735.58,40487.21
11_defence,2019-2020,16061.97,15981.54
2_professional_services,2018-2019,188931.48,191886.93
2_professional_services,2019-2020,173118.91,169525.32
2_professional_services,2020-2021,27120.00,25818.43
2_professional_services,2021-2022,12335.08,11252.57
2_professional_services,2022-2023,116104.56,102799.59
3_information_technology,2017-2018,188804.91,194279.49
3_information_technology,2018-2019,892541.20,905059.40
3_information_technology,2019-2020,1893477.53,1875710.15
3_information_technology,2020-2021,707673.94,672222.23
3_information_technology,2021-2022,1115147.49,1010943.31
3_information_technology,2022-2023,1161768.01,1028715.62
6_industrial_products_and_services,2019-2020,18115.42,17891.67
6_industrial_products_and_services,2020-2021,12656.00,11970.80
6_industrial_products_and_services,2022-2023,19874.58,17766.29
8_security_and_protection,2018-2019,11999.15,12319.49
9_human_capital,2017-2018,30510.00,31422.70
9_human_capital,2018-2019,51383.25,51863.25
9_human_capital,2019-2020,84187.04,82886.46
9_human_capital,2020-2021,95665.76,90766.33
9_human_capital,2021-2022,103944.21,95665.13
9_human_capital,2022-2023,40586.59,35956.71
