d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,156851.67,160971.81
1_facilities_and_construction,2018-2019,474820.85,479882.64
1_facilities_and_construction,2019-2020,1347166.12,1335797.42
1_facilities_and_construction,2020-2021,1343485.34,1277211.59
1_facilities_and_construction,2021-2022,224527.69,212304.66
11_defence,2017-2018,37166.08,38133.95
11_defence,2018-2019,70290.32,71281.40
11_defence,2019-2020,35803.00,35500.86
11_defence,2020-2021,688051.78,650015.79
11_defence,2021-2022,2171481.12,2016265.93
3_information_technology,2021-2022,1326.44,1198.04
6_industrial_products_and_services,2017-2018,107675.68,110532.70
6_industrial_products_and_services,2018-2019,13273.47,13456.75
6_industrial_products_and_services,2019-2020,614092.07,606330.45
6_industrial_products_and_services,2020-2021,969231.13,921614.74
6_industrial_products_and_services,2021-2022,1020317.50,946756.71
