d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,700180.4605263157
1_facilities_and_construction,2018-2019,2082755.5409022556
1_facilities_and_construction,2019-2020,247105.98857142858
1_facilities_and_construction,2020-2021,413948.87324937026
11_defence,2017-2018,277220.7852936472
11_defence,2018-2019,153311.78100856446
11_defence,2019-2020,153731.81328530025
11_defence,2020-2021,82863.88226600985
2_professional_services,2019-2020,50431.07896805897
2_professional_services,2020-2021,681753.4749385751
6_industrial_products_and_services,2017-2018,423044.18
6_industrial_products_and_services,2018-2019,261082.06
6_industrial_products_and_services,2019-2020,1347365.4772814207
6_industrial_products_and_services,2020-2021,3702173.6968715847
