d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,13267.61,13658.90
1_facilities_and_construction,2018-2019,50002.50,51243.31
1_facilities_and_construction,2019-2020,97614.72,96721.77
1_facilities_and_construction,2020-2021,107641.61,102509.33
1_facilities_and_construction,2021-2022,589205.52,551322.21
1_facilities_and_construction,2022-2023,157533.62,141085.90
10_office_management,2019-2020,24997.58,24427.01
10_office_management,2020-2021,22724.59,21466.32
10_office_management,2022-2023,14271.90,12703.52
11_defence,2020-2021,234927.00,223098.93
11_defence,2021-2022,55106.35,50221.36
11_defence,2022-2023,164560.26,147133.28
2_professional_services,2017-2018,1956680.12,2017095.14
2_professional_services,2018-2019,2172559.84,2212762.06
2_professional_services,2019-2020,709347.09,702821.68
2_professional_services,2020-2021,534380.07,509236.23
2_professional_services,2021-2022,472541.55,437226.31
2_professional_services,2022-2023,366032.61,325699.39
3_information_technology,2017-2018,383527.61,395491.06
3_information_technology,2018-2019,473038.76,481096.53
3_information_technology,2019-2020,447494.15,446333.47
3_information_technology,2020-2021,84777.70,80666.04
3_information_technology,2021-2022,228773.51,209616.79
3_information_technology,2022-2023,1012634.62,905437.61
5_transportation_and_logistics,2017-2018,119091.17,122761.95
5_transportation_and_logistics,2018-2019,453701.71,461828.44
5_transportation_and_logistics,2019-2020,364276.67,360989.66
5_transportation_and_logistics,2020-2021,360050.73,342740.91
5_transportation_and_logistics,2021-2022,603806.16,558977.66
5_transportation_and_logistics,2022-2023,953138.54,851347.26
7_travel,2022-2023,47757.79,42466.33
