d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,13267.61
1_facilities_and_construction,2018-2019,50002.5
1_facilities_and_construction,2019-2020,55445.160225718195
1_facilities_and_construction,2020-2021,61140.43348153215
10_office_management,2019-2020,24997.58
10_office_management,2020-2021,22724.590000000004
2_professional_services,2017-2018,1956680.119517275
2_professional_services,2018-2019,2195859.9814063944
2_professional_services,2019-2020,769779.9530483608
2_professional_services,2020-2021,769307.0739215726
3_information_technology,2017-2018,383527.6120805369
3_information_technology,2018-2019,449738.6209329959
3_information_technology,2019-2020,387061.29291382316
3_information_technology,2020-2021,84777.70417422868
5_transportation_and_logistics,2017-2018,119091.16792270532
5_transportation_and_logistics,2018-2019,453701.71322308254
5_transportation_and_logistics,2019-2020,364272.30562621314
5_transportation_and_logistics,2020-2021,360035.27407758293
