d_fiscal_year,total,total_constant_2019_dollars
2017-2018,67860.37,69470.49
2018-2019,986569.02,999268.67
2019-2020,2323363.51,2292916.70
2020-2021,697279.26,661244.74
2021-2022,30891.00,28358.72
