normalized_vendor_name,original_vendor_name
HYUNDAI AUTO CANADA,HYUNDAI AUTO CANADA CORP.
HYUNDAI AUTO CANADA,HYUNDAI AUTO CANADA
HYUNDAI AUTO CANADA,Hyundai Auto Canada Corp
HYUNDAI AUTO CANADA,HYUNDIA AUTO CANADA
HYUNDAI AUTO CANADA,HYUNDAI AUTO CANADA CORPORATION
HYUNDAI AUTO CANADA,HYUNDAI AUTO CA CORP.
HYUNDAI AUTO CANADA,HYUNDAI AUTO CANADA CORP
HYUNDAI AUTO CANADA,hyundai Auto Canada Corp
HYUNDAI AUTO CANADA,Hyundai Auto Canada
HYUNDAI AUTO CANADA,Hyundia Auto Canada Corp
HYUNDAI AUTO CANADA,Hyundai auto Canada Inc.
HYUNDAI AUTO CANADA,Hyundai Atuo Canada Corp
