d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_devices_equipment,2017-2018,190994.53,196772.58
it_devices_equipment,2018-2019,336607.37,341825.60
it_devices_equipment,2019-2020,22859.73,22331.75
it_devices_equipment,2020-2021,98041.48,92986.64
it_other,2017-2018,6428.91,6606.07
it_other,2018-2019,82062.97,83484.24
it_other,2019-2020,106052.83,104652.84
it_other,2020-2021,889866.94,844337.75
it_other,2021-2022,264496.62,242830.34
it_software_licensing,2017-2018,82102.64,84702.11
it_software_licensing,2018-2019,2747.97,2771.40
it_software_licensing,2019-2020,22792.99,22619.50
it_software_licensing,2020-2021,41827.56,39911.32
it_software_licensing,2021-2022,46708.63,43088.97
