d_most_recent_category,total,percentage
10_office_management,136629464.26538894,0.9562333729038799
1_facilities_and_construction,3269893.57,0.02288511760102017
11_defence,2444446.193253012,0.017108030400500546
2_professional_services,388700.18999999994,0.0027204095085238155
NA,125561.88,8.787742868356364e-4
6_industrial_products_and_services,24903.829999999998,1.7429529923991202e-4
