owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2021-2022,11558.40,7074.44
csc-scc,2019-2020,73250.10,73350.53
csc-scc,2020-2021,73250.10,70230.89
dfo-mpo,2018-2019,34008.81,34337.93
dfo-mpo,2019-2020,20005.19,19996.06
dnd-mdn,2017-2018,2172237.11,2213140.25
dnd-mdn,2018-2019,1540960.68,1558214.70
dnd-mdn,2020-2021,935896.09,884619.64
dnd-mdn,2021-2022,629630.40,573487.03
ec,2021-2022,275079.29,155747.14
hc-sc,2017-2018,141216.10,143641.82
pc,2017-2018,67316.91,68473.23
pc,2018-2019,171097.14,172831.37
pc,2019-2020,214855.20,214771.83
pwgsc-tpsgc,2017-2018,104348.14,106182.90
pwgsc-tpsgc,2020-2021,16800.00,16228.23
rcmp-grc,2017-2018,14589.75,14851.24
rcmp-grc,2018-2019,64903.65,65806.93
rcmp-grc,2020-2021,147483.00,141523.70
