d_most_recent_category,d_fiscal_year,total
2_professional_services,2017-2018,643713.63
2_professional_services,2018-2019,413889.50
2_professional_services,2019-2020,233384.68
2_professional_services,2020-2021,76527.36
3_information_technology,2017-2018,3925508.92
3_information_technology,2018-2019,2587039.09
3_information_technology,2019-2020,1648352.35
3_information_technology,2020-2021,754114.69
