d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,352310.76
10_office_management,2017-2018,3775261.218625528
10_office_management,2018-2019,7013088.992340425
10_office_management,2019-2020,6395436.691857847
10_office_management,2020-2021,4973150.370466195
2_professional_services,2017-2018,46411.73284023669
2_professional_services,2018-2019,57811.71715976331
2_professional_services,2019-2020,37079.52
2_professional_services,2020-2021,32586
3_information_technology,2020-2021,14122.01
5_transportation_and_logistics,2019-2020,46598.94
5_transportation_and_logistics,2020-2021,11333.9
6_industrial_products_and_services,2017-2018,647950.6804651163
6_industrial_products_and_services,2018-2019,475085.2916744186
6_industrial_products_and_services,2019-2020,380025.0036565052
6_industrial_products_and_services,2020-2021,886997.16420396
7_travel,2019-2020,96529.08
